annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2022575;15/10/2022;midi;15/12/2022;1;6;8;9;12;17;20;21;25;26;30;32;33;38;42;43;44;56;61;69;2;5 855 458;eur;
2022574;14/10/2022;soir;14/12/2022;4;6;8;12;24;25;30;34;39;41;43;44;48;55;57;60;61;64;69;70;3;2 834 115;eur;
2022573;14/10/2022;midi;14/12/2022;2;3;4;6;10;12;15;20;24;26;29;38;39;42;44;57;58;59;61;62;2;3 427 787;eur;
2022572;13/10/2022;soir;13/12/2022;2;7;10;12;15;18;19;25;29;30;33;35;37;45;51;55;59;60;65;68;3;2 144 224;eur;
2022571;13/10/2022;midi;13/12/2022;1;4;6;11;14;15;17;24;27;32;34;35;40;43;50;51;52;61;63;64;3;7 574 307;eur;
2022570;12/10/2022;soir;12/12/2022;4;14;18;20;21;37;39;44;46;48;49;51;52;53;57;58;59;63;68;69;3;0 280 745;eur;
2022569;12/10/2022;midi;12/12/2022;7;8;9;15;16;17;18;27;29;30;34;36;37;43;47;56;58;59;61;64;3;6 075 649;eur;
2022568;11/10/2022;soir;11/12/2022;2;4;8;11;19;20;21;22;24;27;29;39;44;46;50;55;58;61;69;70;2;3 231 663;eur;
2022567;11/10/2022;midi;11/12/2022;2;3;9;12;17;21;22;24;26;27;28;34;35;48;56;57;59;60;61;67;2;3 899 291;eur;
2022566;10/10/2022;soir;10/12/2022;4;5;7;12;13;14;15;16;18;27;29;31;39;43;45;53;56;62;64;68;2;7 819 050;eur;
2022565;10/10/2022;midi;10/12/2022;9;11;12;17;19;25;27;29;32;34;37;38;42;45;52;53;55;56;65;68;2;0 137 294;eur;
2022564;09/10/2022;soir;09/12/2022;3;8;13;16;25;27;29;31;33;43;46;51;55;56;61;62;64;65;67;70;2;3 703 137;eur;
2022563;09/10/2022;midi;09/12/2022;1;2;7;10;15;18;23;24;25;26;27;29;31;33;40;43;48;51;55;65;2;7 749 501;eur;
2022562;08/10/2022;soir;08/12/2022;2;4;5;9;10;11;12;21;28;31;33;36;39;48;49;56;62;66;69;70;2;9 314 761;eur;
2022561;08/10/2022;midi;08/12/2022;3;8;12;15;16;26;28;31;32;41;42;43;50;51;54;55;57;58;61;65;3;5 190 502;eur;
2022560;07/10/2022;soir;07/12/2022;1;4;7;11;16;18;19;24;26;27;35;42;45;47;48;50;52;54;59;65;2;2 175 623;eur;
2022559;07/10/2022;midi;07/12/2022;4;8;10;13;14;18;22;24;26;28;31;36;37;42;45;47;49;61;65;68;3;4 566 105;eur;
2022558;06/10/2022;soir;06/12/2022;2;13;19;22;24;25;28;32;33;35;38;43;45;48;61;62;64;66;68;70;2;9 750 703;eur;
2022557;06/10/2022;midi;06/12/2022;2;3;11;22;23;26;28;30;39;41;44;48;52;53;55;60;61;63;67;69;2;1 530 852;eur;
2022556;05/10/2022;soir;05/12/2022;1;3;4;5;6;12;15;21;22;24;32;37;39;42;48;57;59;61;64;69;3;1 103 103;eur;
2022555;05/10/2022;midi;05/12/2022;3;7;12;14;18;24;25;30;33;35;36;38;39;45;50;54;56;58;60;66;2;0 297 971;eur;
2022554;04/10/2022;soir;04/12/2022;1;2;6;17;29;33;35;39;43;45;49;51;52;56;58;63;65;68;69;70;2;6 357 452;eur;
2022553;04/10/2022;midi;04/12/2022;5;14;23;29;31;33;36;37;41;42;44;49;53;56;58;60;63;65;69;70;2;4 013 307;eur;
2022552;03/10/2022;soir;03/12/2022;8;11;12;13;15;18;23;31;35;40;41;44;45;51;58;60;62;64;68;70;2;2 103 615;eur;
2022551;03/10/2022;midi;03/12/2022;1;3;8;12;15;17;21;28;34;39;44;47;57;60;61;62;63;65;66;67;3;0 554 927;eur;
2022550;02/10/2022;soir;02/12/2022;6;7;10;11;12;18;20;24;25;39;47;49;50;51;53;57;58;61;65;70;2;1 453 036;eur;
2022549;02/10/2022;midi;02/12/2022;4;5;8;14;21;31;33;42;45;49;50;52;53;58;60;61;62;63;65;68;2;6 074 451;eur;
2022548;01/10/2022;soir;01/12/2022;5;7;13;15;16;17;18;19;21;23;24;26;28;37;39;50;51;52;56;60;2;2 749 469;eur;
2022547;01/10/2022;midi;01/12/2022;3;10;11;12;17;18;22;23;24;25;27;28;29;31;40;44;52;63;67;69;2;9 060 925;eur;
2022546;30/09/2022;soir;30/11/2022;5;7;8;10;11;15;19;26;32;37;38;43;46;47;48;51;56;57;58;60;2;9 774 363;eur;
2022545;30/09/2022;midi;30/11/2022;5;8;15;19;21;22;25;26;31;32;33;34;35;40;45;49;55;59;60;67;2;4 299 006;eur;
2022544;29/09/2022;soir;29/11/2022;1;2;4;5;13;17;21;22;36;39;43;46;47;49;53;55;56;61;63;64;3;2 406 021;eur;
2022543;29/09/2022;midi;29/11/2022;1;3;8;16;17;18;19;23;26;30;31;32;38;47;49;62;65;66;67;69;2;3 653 634;eur;
2022542;28/09/2022;soir;28/11/2022;6;7;11;17;18;22;23;34;37;38;39;40;44;45;46;47;52;56;61;66;5;7 850 083;eur;
2022541;28/09/2022;midi;28/11/2022;3;12;19;21;26;28;30;39;40;45;46;47;51;53;54;57;61;63;65;67;2;2 977 513;eur;
2022540;27/09/2022;soir;27/11/2022;5;11;16;22;25;27;31;34;36;37;38;41;45;46;48;56;60;65;66;70;2;5 671 196;eur;
2022539;27/09/2022;midi;27/11/2022;5;6;14;19;25;35;37;41;42;43;44;46;48;51;60;61;64;65;66;67;2;5 767 225;eur;
2022538;26/09/2022;soir;26/11/2022;3;4;7;9;11;14;16;19;25;29;30;31;35;37;40;41;51;54;55;68;3;8 058 685;eur;
2022537;26/09/2022;midi;26/11/2022;3;5;9;10;11;22;27;32;33;36;41;42;48;55;57;58;59;63;66;70;3;4 485 143;eur;
2022536;25/09/2022;soir;25/11/2022;2;9;11;23;26;27;31;34;36;37;38;40;45;51;53;54;57;58;61;66;2;4 263 736;eur;
2022535;25/09/2022;midi;25/11/2022;2;3;5;6;10;11;16;21;22;24;26;27;33;36;42;49;51;62;63;66;2;1 278 311;eur;
2022534;24/09/2022;soir;24/11/2022;15;27;29;31;34;35;41;42;43;44;48;52;54;56;58;59;60;62;67;69;2;4 164 285;eur;
2022533;24/09/2022;midi;24/11/2022;3;7;9;10;13;15;18;22;24;25;26;27;29;33;34;44;51;54;55;57;2;5 425 123;eur;
2022532;23/09/2022;soir;23/11/2022;2;5;7;8;12;17;18;22;24;25;26;29;31;33;37;39;49;53;54;67;2;2 478 699;eur;
2022531;23/09/2022;midi;23/11/2022;4;10;16;26;29;30;37;39;42;43;44;46;49;50;51;52;56;63;66;70;3;1 763 242;eur;
2022530;22/09/2022;soir;22/11/2022;3;11;17;18;21;22;27;28;32;36;39;49;50;54;58;60;61;67;68;70;2;2 532 057;eur;
2022529;22/09/2022;midi;22/11/2022;5;6;9;10;12;13;14;15;19;31;36;40;42;43;48;49;55;56;64;70;3;8 872 466;eur;
2022528;21/09/2022;soir;21/11/2022;2;8;13;23;26;27;28;35;36;37;38;43;47;49;55;60;62;68;69;70;2;2 413 922;eur;
2022527;21/09/2022;midi;21/11/2022;1;2;4;10;15;16;27;31;33;34;36;37;41;46;47;55;59;63;66;67;3;8 801 057;eur;
