annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2022436;06/08/2022;soir;06/10/2022;2;3;4;7;8;17;21;24;26;30;31;40;41;46;49;52;60;64;66;67;5;7 846 454;eur;
2022435;06/08/2022;midi;06/10/2022;6;8;11;17;28;32;33;41;45;47;53;56;57;58;62;64;65;66;67;68;3;7 617 844;eur;
2022434;05/08/2022;soir;05/10/2022;5;6;7;10;11;13;17;21;28;31;33;34;46;48;49;57;58;66;69;70;2;5 866 309;eur;
2022433;05/08/2022;midi;05/10/2022;3;4;5;6;11;12;15;17;18;28;33;39;49;50;52;54;56;58;59;69;2;6 306 898;eur;
2022432;04/08/2022;soir;04/10/2022;3;19;20;22;23;25;35;36;38;45;46;47;55;57;58;59;62;63;67;69;2;5 734 517;eur;
2022431;04/08/2022;midi;04/10/2022;6;7;9;10;11;19;20;24;28;34;35;36;39;42;44;45;50;53;54;69;3;4 273 985;eur;
2022430;03/08/2022;soir;03/10/2022;3;5;6;7;16;17;22;30;32;33;34;38;42;45;46;47;48;58;59;66;2;5 810 365;eur;
2022429;03/08/2022;midi;03/10/2022;1;2;7;13;15;16;20;21;22;23;29;35;37;40;41;42;47;53;60;67;2;5 333 983;eur;
2022428;02/08/2022;soir;02/10/2022;1;3;6;7;12;13;15;17;19;36;38;42;44;46;50;51;56;60;68;70;3;7 035 096;eur;
2022427;02/08/2022;midi;02/10/2022;16;18;21;23;24;26;33;38;39;40;43;46;49;53;54;55;59;60;63;68;2;0 664 815;eur;
2022426;01/08/2022;soir;01/10/2022;1;6;8;10;15;16;29;33;34;36;46;48;50;51;52;55;57;61;65;70;2;8 724 758;eur;
2022425;01/08/2022;midi;01/10/2022;7;11;12;14;18;22;25;28;39;41;43;44;48;49;54;55;58;60;61;67;2;7 186 067;eur;
2022424;31/07/2022;soir;30/09/2022;5;8;11;12;22;28;32;37;42;43;45;51;53;55;56;58;59;60;63;68;2;2 845 481;eur;
2022423;31/07/2022;midi;30/09/2022;12;16;17;19;23;25;27;29;30;31;32;38;39;46;52;53;56;57;60;69;2;3 766 801;eur;
2022422;30/07/2022;soir;29/09/2022;1;2;10;13;14;15;18;27;31;36;39;48;50;52;55;59;63;65;68;70;3;4 465 659;eur;
2022421;30/07/2022;midi;29/09/2022;7;9;10;11;14;23;24;27;30;37;39;47;48;50;55;58;61;66;67;70;2;4 221 903;eur;
2022420;29/07/2022;soir;28/09/2022;10;11;14;16;22;23;30;33;39;41;43;46;48;49;54;59;60;61;62;69;2;4 514 543;eur;
2022419;29/07/2022;midi;28/09/2022;6;7;10;11;12;21;22;33;36;37;39;48;49;51;57;60;62;63;67;70;3;3 874 295;eur;
2022418;28/07/2022;soir;27/09/2022;2;5;14;18;24;26;29;30;33;35;38;41;43;45;46;49;51;52;60;67;2;8 408 473;eur;
2022417;28/07/2022;midi;27/09/2022;1;5;6;8;10;11;14;26;30;31;37;40;45;50;53;57;59;62;64;69;2;0 193 898;eur;
2022416;27/07/2022;soir;26/09/2022;1;4;5;8;15;18;25;29;32;34;36;39;40;45;47;52;53;62;65;69;3;8 489 555;eur;
2022415;27/07/2022;midi;26/09/2022;1;2;5;6;8;19;22;27;29;31;32;39;43;46;48;54;56;64;66;70;2;0 729 979;eur;
2022414;26/07/2022;soir;25/09/2022;3;6;7;13;20;25;27;32;33;34;37;38;40;51;53;56;59;61;63;69;2;3 893 993;eur;
2022413;26/07/2022;midi;25/09/2022;1;7;13;15;18;23;24;25;35;40;42;43;47;48;56;57;61;63;65;68;3;1 419 970;eur;
2022412;25/07/2022;soir;24/09/2022;5;12;13;17;18;25;26;28;36;37;39;40;43;45;46;47;54;59;64;70;3;9 748 633;eur;
2022411;25/07/2022;midi;24/09/2022;1;2;9;11;13;17;23;25;27;30;31;34;38;39;43;48;56;59;62;68;2;1 371 673;eur;
2022410;24/07/2022;soir;23/09/2022;1;2;5;9;13;14;18;22;29;33;36;37;38;42;47;50;57;61;64;70;2;6 197 125;eur;
2022409;24/07/2022;midi;23/09/2022;1;3;6;7;8;9;11;17;20;23;25;31;34;35;38;42;43;58;65;68;2;6 790 704;eur;
2022408;23/07/2022;soir;22/09/2022;1;5;6;11;14;16;26;30;40;41;42;45;46;47;48;51;55;57;61;62;3;8 728 624;eur;
2022407;23/07/2022;midi;22/09/2022;2;5;7;12;13;21;25;30;31;35;40;45;57;63;64;65;66;67;69;70;3;8 660 601;eur;
2022406;22/07/2022;soir;21/09/2022;8;10;17;18;20;21;22;23;28;29;30;37;39;40;46;49;51;61;64;67;2;0 872 770;eur;
2022405;22/07/2022;midi;21/09/2022;4;6;7;11;13;16;21;27;35;37;39;41;47;54;55;56;61;62;64;70;3;0 045 447;eur;
2022404;21/07/2022;soir;20/09/2022;1;8;10;12;15;18;24;25;33;35;36;37;38;39;41;53;56;59;64;70;2;1 697 904;eur;
2022403;21/07/2022;midi;20/09/2022;1;3;8;14;17;21;24;27;31;33;38;41;42;43;44;53;55;57;62;69;2;0 906 488;eur;
2022402;20/07/2022;soir;19/09/2022;2;3;6;11;17;19;20;26;27;30;32;34;43;48;56;57;58;63;64;67;2;4 187 373;eur;
2022401;20/07/2022;midi;19/09/2022;1;11;14;22;26;32;34;37;38;42;43;44;46;47;51;57;64;66;68;70;2;5 206 638;eur;
2022400;19/07/2022;soir;18/09/2022;3;5;7;10;17;23;25;27;28;33;35;43;46;48;49;51;57;62;66;68;3;0 628 220;eur;
2022399;19/07/2022;midi;18/09/2022;1;4;6;7;9;18;20;43;46;49;50;51;52;53;55;57;58;60;64;66;3;6 372 002;eur;
2022398;18/07/2022;soir;17/09/2022;2;5;15;19;21;23;25;28;29;35;40;41;46;50;52;53;54;56;66;70;3;6 587 762;eur;
2022397;18/07/2022;midi;17/09/2022;2;5;18;23;25;27;29;30;34;37;39;41;44;47;51;58;61;65;67;68;2;6 756 256;eur;
2022396;17/07/2022;soir;16/09/2022;1;2;4;13;14;16;23;28;36;39;49;52;55;64;65;66;67;68;69;70;2;2 328 878;eur;
2022395;17/07/2022;midi;16/09/2022;2;10;16;21;24;27;31;33;34;37;41;47;50;51;57;59;60;61;66;70;2;7 902 177;eur;
2022394;16/07/2022;soir;15/09/2022;1;3;9;14;15;22;24;25;26;29;31;33;34;43;48;49;58;59;63;67;2;2 119 067;eur;
2022393;16/07/2022;midi;15/09/2022;1;3;16;17;20;21;22;23;27;28;29;37;43;45;49;53;56;57;58;69;3;3 203 932;eur;
2022392;15/07/2022;soir;14/09/2022;5;11;13;14;17;20;22;24;28;29;33;34;38;39;44;45;54;57;59;68;3;0 053 904;eur;
2022391;15/07/2022;midi;14/09/2022;5;6;7;10;12;16;18;19;24;25;27;36;42;45;48;50;58;62;66;67;2;6 668 767;eur;
2022390;14/07/2022;soir;13/09/2022;5;11;13;15;16;20;22;23;30;33;34;35;36;37;40;45;50;52;55;63;2;5 746 810;eur;
2022389;14/07/2022;midi;13/09/2022;5;8;12;16;18;20;22;23;25;39;42;43;46;54;55;56;60;64;66;68;2;5 406 488;eur;
2022388;13/07/2022;soir;12/09/2022;1;5;6;11;13;15;20;27;28;29;33;39;46;50;53;58;60;61;64;65;2;4 526 542;eur;
2022387;13/07/2022;midi;12/09/2022;8;14;15;19;20;22;24;27;38;41;45;46;51;53;55;62;63;65;66;70;3;8 409 207;eur;
2022386;12/07/2022;soir;11/09/2022;9;17;28;33;34;35;38;40;41;43;46;48;52;56;58;62;64;65;66;67;2;7 810 639;eur;
2022385;12/07/2022;midi;11/09/2022;1;2;3;6;14;20;21;29;32;33;36;37;41;46;48;50;51;54;58;60;2;2 564 046;eur;
2022384;11/07/2022;soir;10/09/2022;11;14;15;16;17;19;23;26;32;34;35;37;40;41;43;46;52;54;62;68;2;6 403 652;eur;
2022383;11/07/2022;midi;10/09/2022;2;4;6;8;12;14;17;22;30;35;38;42;45;50;59;60;61;62;63;66;3;5 042 648;eur;
2022382;10/07/2022;soir;09/09/2022;1;5;8;16;17;21;22;26;29;36;40;41;42;45;47;50;51;55;58;60;2;6 417 479;eur;
2022381;10/07/2022;midi;09/09/2022;6;7;9;12;14;16;19;23;33;34;35;37;39;40;42;48;50;60;63;69;3;3 712 576;eur;
2022380;09/07/2022;soir;08/09/2022;1;7;12;19;20;21;24;25;28;37;41;43;45;48;50;54;56;60;61;70;3;5 954 630;eur;
2022379;09/07/2022;midi;08/09/2022;2;3;8;11;13;15;29;30;31;34;36;37;38;42;44;50;61;62;68;69;3;9 547 498;eur;
2022378;08/07/2022;soir;07/09/2022;2;4;6;17;19;23;26;29;30;33;34;37;40;50;53;55;57;60;63;68;2;2 887 272;eur;
2022377;08/07/2022;midi;07/09/2022;4;6;10;12;16;18;26;30;32;36;46;48;50;54;57;59;60;63;65;69;3;5 200 120;eur;
2022376;07/07/2022;soir;06/09/2022;1;3;8;10;12;15;17;18;20;21;38;40;44;51;53;54;55;62;65;68;3;3 199 954;eur;
2022375;07/07/2022;midi;06/09/2022;4;5;6;7;18;22;26;33;39;41;45;49;51;52;53;55;60;61;62;63;3;2 381 581;eur;
2022374;06/07/2022;soir;05/09/2022;2;3;6;7;11;13;14;15;19;20;27;28;29;32;37;38;43;48;54;60;2;3 409 047;eur;
2022373;06/07/2022;midi;05/09/2022;2;6;15;20;24;31;32;34;35;36;37;39;41;42;44;45;52;61;62;65;2;1 765 197;eur;
2022372;05/07/2022;soir;04/09/2022;2;9;19;20;21;23;25;26;29;33;34;36;37;40;43;45;47;51;53;68;2;3 737 971;eur;
2022371;05/07/2022;midi;04/09/2022;3;4;6;13;14;16;19;21;22;26;33;34;35;36;38;52;55;64;65;69;2;4 535 715;eur;
2022370;04/07/2022;soir;03/09/2022;4;6;14;16;17;19;20;29;31;34;38;39;44;50;53;56;57;62;64;67;3;1 162 999;eur;
2022369;04/07/2022;midi;03/09/2022;2;4;5;8;13;27;29;35;37;41;44;46;48;51;52;54;64;65;67;70;2;9 668 412;eur;
2022368;03/07/2022;soir;02/09/2022;1;2;11;14;16;24;27;30;31;34;35;49;50;54;58;61;62;64;65;67;5;4 240 759;eur;
2022367;03/07/2022;midi;02/09/2022;3;11;12;14;20;22;30;38;45;49;50;51;54;55;56;59;63;64;67;69;3;6 291 617;eur;
2022366;02/07/2022;soir;01/09/2022;1;2;5;18;20;28;31;34;35;37;38;39;41;46;50;51;57;60;61;69;3;2 974 116;eur;
2022365;02/07/2022;midi;01/09/2022;1;5;8;11;12;14;17;24;25;30;32;43;44;51;58;59;62;66;69;70;2;1 757 521;eur;
2022364;01/07/2022;soir;31/08/2022;1;5;11;12;15;22;23;24;30;31;34;36;41;50;52;56;59;60;61;70;2;3 491 802;eur;
2022363;01/07/2022;midi;31/08/2022;4;6;7;8;10;25;32;39;40;47;48;50;53;55;57;58;63;65;66;68;3;0 657 427;eur;
2022362;30/06/2022;soir;30/08/2022;5;11;13;15;16;18;20;21;27;33;37;38;48;49;50;55;57;62;64;70;3;2 964 854;eur;
2022361;30/06/2022;midi;30/08/2022;3;5;10;14;16;23;27;34;36;37;49;51;52;55;56;58;61;63;67;68;2;4 781 105;eur;
2022360;29/06/2022;soir;29/08/2022;2;3;5;8;12;16;19;21;22;26;31;33;35;38;40;45;53;56;65;68;2;0 921 207;eur;
2022359;29/06/2022;midi;29/08/2022;2;12;13;14;19;20;22;24;43;47;49;51;55;59;60;62;63;66;67;68;2;1 984 018;eur;
2022358;28/06/2022;soir;28/08/2022;5;6;13;14;15;24;25;26;32;33;35;37;42;43;44;47;50;53;61;66;3;9 178 680;eur;
2022357;28/06/2022;midi;28/08/2022;3;7;8;13;20;25;26;27;31;36;41;44;45;47;52;54;56;59;67;69;3;2 994 052;eur;
2022356;27/06/2022;soir;27/08/2022;2;7;10;15;16;18;28;29;34;36;42;45;50;51;52;53;54;56;66;69;3;0 243 284;eur;
2022355;27/06/2022;midi;27/08/2022;4;6;9;12;13;21;22;28;39;40;41;44;45;49;50;58;61;65;66;69;2;4 944 373;eur;
2022354;26/06/2022;soir;26/08/2022;1;2;3;4;7;8;12;17;22;26;29;30;31;33;36;48;50;61;66;68;2;4 683 818;eur;
2022353;26/06/2022;midi;26/08/2022;10;12;14;16;17;24;26;31;34;37;42;43;45;48;52;56;57;61;67;69;5;9 275 231;eur;
2022352;25/06/2022;soir;25/08/2022;1;9;10;18;19;21;28;31;33;34;36;39;45;49;52;57;61;62;67;68;2;3 953 988;eur;
2022351;25/06/2022;midi;25/08/2022;1;2;3;5;17;22;25;27;29;30;31;36;37;46;47;54;62;67;68;69;2;5 074 227;eur;
2022350;24/06/2022;soir;24/08/2022;2;11;16;21;22;24;27;31;33;34;41;43;48;49;54;55;56;59;64;66;2;9 633 272;eur;
2022349;24/06/2022;midi;24/08/2022;5;17;23;25;29;31;33;34;37;41;43;44;48;49;50;51;55;64;65;69;2;1 501 687;eur;
2022348;23/06/2022;soir;23/08/2022;6;8;10;11;12;16;17;23;25;29;32;34;37;42;50;52;53;56;65;66;2;6 986 758;eur;
2022347;23/06/2022;midi;23/08/2022;1;7;9;13;14;15;17;20;23;24;39;42;48;52;55;60;61;65;66;70;2;1 761 526;eur;
2022346;22/06/2022;soir;22/08/2022;5;9;10;13;14;15;16;18;19;27;29;37;39;51;53;55;56;65;66;68;3;7 341 912;eur;
2022345;22/06/2022;midi;22/08/2022;6;9;17;24;25;26;28;33;35;38;40;47;49;54;55;58;61;62;69;70;2;6 874 838;eur;
2022344;21/06/2022;soir;21/08/2022;6;13;15;16;17;20;26;35;41;42;44;46;47;49;51;52;61;64;66;67;2;4 471 797;eur;
2022343;21/06/2022;midi;21/08/2022;1;6;8;9;15;24;25;27;28;34;37;38;46;50;51;53;54;56;59;61;2;3 199 976;eur;
2022342;20/06/2022;soir;20/08/2022;1;15;16;17;18;21;26;27;28;29;30;34;38;44;49;52;59;64;65;66;2;2 284 813;eur;
2022341;20/06/2022;midi;20/08/2022;3;11;12;14;16;17;18;25;27;32;33;38;42;48;52;54;58;62;64;70;3;4 869 877;eur;
2022340;19/06/2022;soir;19/08/2022;1;4;6;9;18;23;34;35;36;38;39;49;50;51;53;55;57;58;60;62;2;9 787 105;eur;
2022339;19/06/2022;midi;19/08/2022;9;10;12;14;15;17;19;27;32;34;36;40;41;43;54;59;60;63;64;68;2;0 476 837;eur;
2022338;18/06/2022;soir;18/08/2022;1;12;15;16;17;20;21;23;30;32;35;36;45;49;50;51;53;54;56;61;2;1 477 474;eur;
2022337;18/06/2022;midi;18/08/2022;2;4;13;19;20;24;25;27;28;35;46;51;54;55;59;62;64;65;66;68;2;9 985 601;eur;
2022336;17/06/2022;soir;17/08/2022;2;7;8;11;14;16;17;33;37;42;43;48;49;50;52;53;54;55;58;65;3;0 357 888;eur;
2022335;17/06/2022;midi;17/08/2022;3;11;12;15;18;21;30;34;35;39;41;45;46;48;49;52;56;62;66;70;2;9 459 715;eur;
2022334;16/06/2022;soir;16/08/2022;3;5;8;9;10;18;20;23;31;36;42;43;48;49;51;55;57;62;63;68;3;8 963 064;eur;
2022333;16/06/2022;midi;16/08/2022;3;5;6;8;27;28;33;34;38;44;45;53;57;58;60;61;62;67;68;70;3;4 242 746;eur;
2022332;15/06/2022;soir;15/08/2022;5;8;10;14;18;19;20;22;24;47;50;52;54;55;57;58;61;63;65;68;2;1 304 214;eur;
2022331;15/06/2022;midi;15/08/2022;1;5;6;10;11;16;18;19;26;28;29;30;32;33;35;37;47;55;56;60;3;1 569 210;eur;
2022330;14/06/2022;soir;14/08/2022;3;5;10;11;18;19;21;23;25;26;28;34;38;39;42;45;48;58;69;70;2;3 833 969;eur;
2022329;14/06/2022;midi;14/08/2022;1;5;14;16;17;20;22;23;27;30;31;35;39;40;42;50;51;54;62;65;3;6 260 938;eur;
2022328;13/06/2022;soir;13/08/2022;7;14;19;20;22;23;24;26;32;39;41;42;44;46;51;60;61;66;68;69;5;5 547 886;eur;
2022327;13/06/2022;midi;13/08/2022;4;5;10;12;24;27;28;29;32;33;34;35;42;46;50;52;54;55;57;61;2;7 675 076;eur;
2022326;12/06/2022;soir;12/08/2022;2;4;5;7;8;10;14;17;28;30;39;41;46;51;60;63;64;66;68;69;2;0 899 473;eur;
2022325;12/06/2022;midi;12/08/2022;3;5;8;9;13;16;19;24;26;28;36;37;41;45;52;55;56;57;63;70;2;7 500 485;eur;
2022324;11/06/2022;soir;11/08/2022;5;10;13;14;17;18;24;27;38;42;46;48;50;51;59;62;63;64;69;70;2;2 020 334;eur;
2022323;11/06/2022;midi;11/08/2022;1;4;12;13;17;26;29;31;36;38;45;46;49;50;51;55;58;59;61;65;2;1 958 694;eur;
2022322;10/06/2022;soir;10/08/2022;7;9;14;19;20;22;26;28;31;34;41;44;49;52;54;60;61;62;64;65;2;1 210 177;eur;
2022321;10/06/2022;midi;10/08/2022;4;11;14;17;22;25;26;27;29;34;35;37;38;41;51;59;61;63;64;66;3;7 246 389;eur;
2022320;09/06/2022;soir;09/08/2022;3;5;6;8;14;15;17;19;22;30;33;36;38;43;44;50;51;60;63;64;3;0 556 639;eur;
2022319;09/06/2022;midi;09/08/2022;6;7;12;18;27;31;32;33;35;37;38;41;42;44;49;50;55;57;58;64;2;3 623 075;eur;
2022318;08/06/2022;soir;08/08/2022;4;9;10;16;17;20;22;23;29;34;35;40;51;52;53;55;56;61;64;65;2;6 629 662;eur;
2022317;08/06/2022;midi;08/08/2022;4;6;9;19;20;21;23;25;29;30;32;37;42;44;47;51;53;54;55;59;3;7 594 321;eur;
2022316;07/06/2022;soir;07/08/2022;4;7;8;9;10;11;16;17;27;31;34;38;43;52;55;56;59;60;63;70;2;7 271 451;eur;
2022315;07/06/2022;midi;07/08/2022;3;4;8;9;12;14;16;19;24;34;35;39;43;47;49;56;57;64;66;70;2;8 981 867;eur;
2022314;06/06/2022;soir;06/08/2022;7;8;10;11;12;16;17;24;29;31;33;34;39;42;47;56;58;62;64;70;3;2 966 487;eur;
2022313;06/06/2022;midi;06/08/2022;1;12;17;21;27;29;30;33;34;38;40;45;46;50;53;57;58;63;64;69;3;4 120 108;eur;
2022312;05/06/2022;soir;05/08/2022;2;3;6;7;10;15;18;23;25;29;35;38;42;49;52;55;58;59;62;68;2;0 739 382;eur;
2022311;05/06/2022;midi;05/08/2022;4;8;9;14;19;20;22;23;24;38;42;49;50;53;57;61;62;63;68;70;3;0 341 574;eur;
2022310;04/06/2022;soir;04/08/2022;3;4;5;6;9;10;12;16;18;26;38;39;46;48;49;50;51;53;59;65;2;9 580 537;eur;
2022309;04/06/2022;midi;04/08/2022;2;8;10;12;13;19;22;27;29;31;34;36;38;41;49;50;54;62;68;69;2;2 547 599;eur;
2022308;03/06/2022;soir;03/08/2022;2;6;8;11;17;18;20;23;26;27;30;32;33;45;48;54;57;59;65;68;2;7 186 031;eur;
2022307;03/06/2022;midi;03/08/2022;8;9;10;12;18;23;29;30;31;34;35;40;41;43;44;48;55;56;66;69;3;1 089 137;eur;
2022306;02/06/2022;soir;02/08/2022;2;6;8;13;17;18;22;25;28;29;33;37;40;48;50;54;56;63;67;69;2;0 255 399;eur;
2022305;02/06/2022;midi;02/08/2022;3;4;5;6;9;16;17;20;26;29;30;32;33;40;43;45;59;60;64;70;2;4 029 309;eur;
2022304;01/06/2022;soir;01/08/2022;11;14;17;19;20;21;23;29;30;32;33;38;39;42;44;57;58;59;63;69;2;2 845 681;eur;
2022303;01/06/2022;midi;01/08/2022;1;2;4;5;6;9;13;14;15;16;27;31;37;42;46;48;49;56;63;69;2;5 435 139;eur;
2022302;31/05/2022;soir;31/07/2022;8;13;17;20;21;22;24;25;33;39;42;44;48;50;52;54;55;64;65;70;5;2 732 998;eur;
2022301;31/05/2022;midi;31/07/2022;2;8;17;25;29;30;34;35;36;38;39;42;43;50;53;54;58;59;62;69;2;1 090 598;eur;
2022300;30/05/2022;soir;30/07/2022;5;10;13;20;21;26;29;33;37;40;41;43;46;47;50;53;54;55;60;61;3;2 730 015;eur;
2022299;30/05/2022;midi;30/07/2022;4;9;15;16;18;20;21;30;34;35;41;42;47;53;55;56;58;60;64;65;2;6 209 433;eur;
2022298;29/05/2022;soir;29/07/2022;5;7;20;23;26;28;30;31;34;35;38;43;47;51;57;60;61;62;63;65;2;5 015 672;eur;
2022297;29/05/2022;midi;29/07/2022;1;2;5;7;10;11;12;13;17;21;23;29;35;41;46;52;57;58;59;62;2;6 233 906;eur;
2022296;28/05/2022;soir;28/07/2022;7;8;15;17;18;25;26;29;39;40;44;49;51;52;56;58;60;62;63;69;3;7 524 955;eur;
2022295;28/05/2022;midi;28/07/2022;2;6;8;14;16;19;23;26;27;31;47;48;49;51;54;55;56;57;59;61;2;2 522 493;eur;
2022294;27/05/2022;soir;27/07/2022;4;5;6;9;11;13;14;16;27;29;30;34;38;41;61;63;65;67;68;69;2;0 971 039;eur;
2022293;27/05/2022;midi;27/07/2022;3;5;6;15;20;30;31;35;37;38;40;42;45;48;49;56;61;65;68;69;2;5 366 344;eur;
2022292;26/05/2022;soir;26/07/2022;2;3;7;9;12;14;17;19;24;27;36;39;41;42;43;44;45;48;60;61;3;2 122 726;eur;
2022291;26/05/2022;midi;26/07/2022;9;10;13;17;21;24;28;36;37;39;41;43;44;47;51;53;56;62;63;65;3;1 860 075;eur;
2022290;25/05/2022;soir;25/07/2022;2;4;10;13;15;21;25;28;29;32;35;36;37;38;40;41;45;55;59;64;3;3 990 856;eur;
2022289;25/05/2022;midi;25/07/2022;1;2;3;6;8;12;14;16;23;24;27;28;30;43;51;55;59;60;65;66;3;1 496 178;eur;
2022288;24/05/2022;soir;24/07/2022;1;9;10;13;16;20;25;28;30;31;42;44;47;51;57;58;62;63;68;70;2;2 690 722;eur;
2022287;24/05/2022;midi;24/07/2022;1;10;22;23;27;28;33;38;39;41;42;43;46;53;58;61;62;63;65;67;2;4 633 665;eur;
2022286;23/05/2022;soir;23/07/2022;2;3;13;16;20;24;28;29;35;36;39;40;42;44;47;48;56;60;62;64;2;0 677 792;eur;
2022285;23/05/2022;midi;23/07/2022;3;4;8;10;12;13;15;18;20;22;23;26;34;40;42;50;53;55;65;66;2;3 287 350;eur;
2022284;22/05/2022;soir;22/07/2022;4;9;12;13;19;21;22;25;32;34;39;42;46;48;50;51;56;57;62;65;2;1 380 989;eur;
2022283;22/05/2022;midi;22/07/2022;3;4;7;8;9;17;20;22;23;26;30;33;42;45;57;58;63;66;69;70;2;8 844 962;eur;
2022282;21/05/2022;soir;21/07/2022;8;10;12;13;19;21;28;30;33;36;43;46;48;53;54;55;58;66;69;70;2;5 661 583;eur;
2022281;21/05/2022;midi;21/07/2022;3;6;11;13;17;20;23;28;30;33;35;38;39;42;50;51;56;58;59;70;3;3 493 397;eur;
2022280;20/05/2022;soir;20/07/2022;7;8;10;20;26;29;30;31;32;39;41;44;48;49;58;60;61;64;66;69;2;7 288 861;eur;
2022279;20/05/2022;midi;20/07/2022;3;4;6;17;18;28;31;32;37;46;47;48;49;51;52;53;54;57;65;70;2;3 611 325;eur;
2022278;19/05/2022;soir;19/07/2022;1;4;6;8;11;12;15;28;31;37;42;45;46;54;57;59;61;62;63;68;2;3 035 332;eur;
2022277;19/05/2022;midi;19/07/2022;1;4;6;13;15;27;29;34;38;39;41;42;44;45;49;52;53;59;62;66;2;9 833 111;eur;
2022276;18/05/2022;soir;18/07/2022;2;8;10;17;22;23;32;34;36;37;39;41;48;49;50;55;56;59;67;68;3;2 241 580;eur;
2022275;18/05/2022;midi;18/07/2022;3;5;7;11;12;15;25;29;35;44;45;46;51;57;58;59;61;62;64;68;3;1 727 685;eur;
2022274;17/05/2022;soir;17/07/2022;9;12;22;23;27;30;36;40;42;44;46;47;49;51;52;57;59;63;64;70;2;9 147 177;eur;
2022273;17/05/2022;midi;17/07/2022;1;3;4;6;9;10;12;23;28;30;34;39;43;45;50;56;59;61;63;67;2;7 158 275;eur;
2022272;16/05/2022;soir;16/07/2022;3;16;17;24;25;26;28;31;35;38;41;50;51;52;54;57;58;60;62;63;3;4 151 930;eur;
2022271;16/05/2022;midi;16/07/2022;1;9;12;18;20;23;26;28;29;30;33;34;40;41;46;50;54;59;60;68;3;3 804 020;eur;
2022270;15/05/2022;soir;15/07/2022;1;5;10;13;22;23;24;27;28;34;45;46;47;49;54;55;60;62;68;70;2;3 976 146;eur;
2022269;15/05/2022;midi;15/07/2022;9;11;12;14;15;16;27;30;32;36;37;41;42;43;46;47;52;53;62;66;3;7 885 020;eur;
2022268;14/05/2022;soir;14/07/2022;6;7;8;12;16;22;26;27;29;39;44;45;49;50;53;57;59;63;67;70;3;5 945 075;eur;
2022267;14/05/2022;midi;14/07/2022;1;16;18;22;24;26;28;31;32;38;42;45;47;49;55;57;58;59;63;65;3;3 672 662;eur;
2022266;13/05/2022;soir;13/07/2022;2;3;4;5;7;12;13;22;32;40;44;47;50;52;55;57;60;64;66;68;2;0 189 230;eur;
2022265;13/05/2022;midi;13/07/2022;1;4;6;17;19;23;24;26;29;31;42;45;46;47;49;56;60;62;67;69;3;2 211 428;eur;
2022264;12/05/2022;soir;12/07/2022;5;10;12;15;17;24;25;27;30;41;42;43;44;46;49;55;56;62;65;69;3;8 786 759;eur;
2022263;12/05/2022;midi;12/07/2022;1;2;5;11;13;18;23;25;27;34;40;47;48;50;53;55;57;58;61;63;2;6 640 294;eur;
2022262;11/05/2022;soir;11/07/2022;3;4;8;10;11;12;14;16;22;25;27;30;32;36;44;53;55;66;67;69;2;3 788 566;eur;
2022261;11/05/2022;midi;11/07/2022;2;11;13;14;23;24;29;32;39;40;45;49;51;52;54;57;62;63;68;69;2;4 949 810;eur;
2022260;10/05/2022;soir;10/07/2022;2;7;9;24;25;27;36;38;41;42;43;44;48;54;55;56;61;62;63;70;3;7 948 684;eur;
2022259;10/05/2022;midi;10/07/2022;2;4;6;11;16;22;33;35;40;41;42;46;55;56;58;59;61;62;65;66;2;1 249 475;eur;
2022258;09/05/2022;soir;09/07/2022;5;9;11;12;16;20;29;31;32;36;37;38;41;45;50;54;56;57;60;63;2;0 908 350;eur;
2022257;09/05/2022;midi;09/07/2022;1;7;9;10;11;22;23;27;29;31;35;36;44;47;49;53;55;65;67;69;2;2 673 516;eur;
2022256;08/05/2022;soir;08/07/2022;2;6;14;17;18;22;28;30;32;39;41;43;44;50;53;57;61;62;63;69;2;6 366 481;eur;
2022255;08/05/2022;midi;08/07/2022;2;13;14;21;23;24;26;27;29;39;43;45;51;54;59;64;66;67;68;70;3;9 676 526;eur;
2022254;07/05/2022;soir;07/07/2022;1;7;8;11;14;18;27;29;33;34;43;46;47;52;56;57;59;60;61;70;2;2 859 471;eur;
2022253;07/05/2022;midi;07/07/2022;1;2;6;11;12;13;18;23;25;26;32;35;37;40;45;46;60;64;65;68;2;8 280 793;eur;
2022252;06/05/2022;soir;06/07/2022;6;8;11;13;24;25;28;29;36;38;40;46;47;52;53;57;61;62;63;64;5;7 669 188;eur;
2022251;06/05/2022;midi;06/07/2022;1;7;8;12;18;21;24;26;33;40;42;45;47;48;51;52;54;67;68;70;2;2 709 809;eur;
2022250;05/05/2022;soir;05/07/2022;2;6;12;14;21;23;24;25;28;30;33;39;40;44;48;49;50;52;62;70;2;4 578 738;eur;
2022249;05/05/2022;midi;05/07/2022;6;16;18;23;27;28;33;34;36;37;40;41;42;46;52;54;57;64;66;68;3;0 603 601;eur;
2022248;04/05/2022;soir;04/07/2022;2;10;14;15;17;19;20;21;24;25;26;28;37;40;41;45;57;60;66;68;2;0 885 726;eur;
