DateTime	Arg12b1f	ENI0122B1V1	ENI0122B2V1
03/02/2022 14:17		4.7	
03/02/2022 14:20	6.4		
03/02/2022 14:22			0
03/02/2022 14:22		4.8	
03/02/2022 14:25	5.4		
03/02/2022 14:27			0
03/02/2022 14:27		5	
03/02/2022 14:30	4.5		
03/02/2022 14:32			0
03/02/2022 14:32		6.1	
03/02/2022 14:35	8.3		
03/02/2022 14:37			18.9
03/02/2022 14:37		19.7	
03/02/2022 14:40	11.1		
03/02/2022 14:42			9.1
03/02/2022 14:43		6.5	
03/02/2022 14:45	11.2		
03/02/2022 14:47			21
03/02/2022 14:48		16.5	
03/02/2022 14:50	12.4		
03/02/2022 14:53			10.7
03/02/2022 14:53		5.8	
03/02/2022 14:55	5.9		
03/02/2022 14:58			6.1
03/02/2022 14:58		6.6	
03/02/2022 15:00	5.3		
03/02/2022 15:03			7.1
03/02/2022 15:03		5.5	
03/02/2022 15:05	6.1		
03/02/2022 15:08			6.9
03/02/2022 15:08		5.5	
03/02/2022 15:10	7.8		
03/02/2022 15:13			5.9
03/02/2022 15:13		4.3	
03/02/2022 15:15	7.3		
03/02/2022 15:18			0
03/02/2022 15:18		3.9	
03/02/2022 15:20	5.4		
03/02/2022 15:23			5.9
03/02/2022 15:23		5.7	
03/02/2022 15:26	5.8		
03/02/2022 15:28			0
03/02/2022 15:28		5.1	
03/02/2022 15:31	7.2		
03/02/2022 15:33			7.2
03/02/2022 15:33		5	
03/02/2022 15:36	5.1		
03/02/2022 15:38			7.8
03/02/2022 15:38		5.1	
03/02/2022 15:41	7.2		
03/02/2022 15:43			0
03/02/2022 15:43		5	
03/02/2022 15:46	5.9		
03/02/2022 15:48			8.1
03/02/2022 15:48		4.5	
03/02/2022 15:51	6.9		
03/02/2022 15:54			7.4
03/02/2022 15:54		6.5	
03/02/2022 15:56	8.5		
03/02/2022 15:59			0
03/02/2022 15:59		5	
03/02/2022 16:01	7.2		
03/02/2022 16:04			6.8
03/02/2022 16:04		5.4	
03/02/2022 16:06	6.8		
03/02/2022 16:09			0
03/02/2022 16:09		8.2	
03/02/2022 16:11	6.7		
03/02/2022 16:14			8.5
03/02/2022 16:14		7.2	
03/02/2022 16:16	5.6		
03/02/2022 16:19			7.2
03/02/2022 16:19		5.8	
03/02/2022 16:21	5.7		
03/02/2022 16:24			7.5
03/02/2022 16:24		4.9	
03/02/2022 16:27	5.5		
03/02/2022 16:29			8.9
03/02/2022 16:29		6.6	
03/02/2022 16:32	5.1		
03/02/2022 16:34			7.7
03/02/2022 16:34		4	
03/02/2022 16:37	6.8		
03/02/2022 16:39			8.6
03/02/2022 16:39		6	
03/02/2022 16:42	5.1		
03/02/2022 16:44			14
03/02/2022 16:44		10.8	
03/02/2022 16:47	7.4		
03/02/2022 16:49			8.5
03/02/2022 16:49		4.5	
03/02/2022 16:52	8.2		
03/02/2022 16:54			12.9
03/02/2022 16:55		8.9	
03/02/2022 16:57	6		
03/02/2022 17:00			10
03/02/2022 17:00		5.8	
03/02/2022 17:02	8.5		
03/02/2022 17:05			7.1
03/02/2022 17:05		4.5	
03/02/2022 17:07	8.3		
03/02/2022 17:10			6.9
03/02/2022 17:10		4.6	
03/02/2022 17:12	5.8		
03/02/2022 17:15			7.7
03/02/2022 17:15		6.8	
03/02/2022 17:17	5.4		
03/02/2022 17:20			8.8
03/02/2022 17:20		4.5	
03/02/2022 17:22	7		
03/02/2022 17:25			9.6
03/02/2022 17:25		5.6	
03/02/2022 17:28	6.5		
03/02/2022 17:30			8.3
03/02/2022 17:30		6.6	
03/02/2022 17:33	7.3		
03/02/2022 17:35			7.1
03/02/2022 17:35		4.5	
03/02/2022 17:38	6.3		
03/02/2022 17:40			6.8
03/02/2022 17:40		5.1	
03/02/2022 17:43	11.5		
03/02/2022 17:45			7.7
03/02/2022 17:45		5.1	
03/02/2022 17:48	6.1		
03/02/2022 17:50			6.8
03/02/2022 17:50		4.6	
03/02/2022 17:53	8.2		
03/02/2022 17:55			8.3
03/02/2022 17:55		5.7	
03/02/2022 17:58	13.5		
03/02/2022 18:00			8.7
03/02/2022 18:01		6.5	
03/02/2022 18:03	5.7		
03/02/2022 18:06			10.5
03/02/2022 18:06		5.1	
03/02/2022 18:08	7.2		
03/02/2022 18:11			7.8
03/02/2022 18:11		5.1	
03/02/2022 18:13	7.1		
03/02/2022 18:16			12.1
03/02/2022 18:16		6.1	
03/02/2022 18:18	8		
03/02/2022 18:21			9.8
03/02/2022 18:21		5.8	
03/02/2022 18:23	11.3		
03/02/2022 18:26			9.9
03/02/2022 18:26		6.2	
03/02/2022 18:28	9		
03/02/2022 18:31			9.6
03/02/2022 18:31		6.4	
03/02/2022 18:34	8		
03/02/2022 18:36			11.2
03/02/2022 18:36		5.5	
03/02/2022 18:39	9.6		
03/02/2022 18:41			8.5
03/02/2022 18:41		5.8	
03/02/2022 18:44	7.3		
03/02/2022 18:46			10.9
03/02/2022 18:46		7.6	
03/02/2022 18:49	10.4		
03/02/2022 18:51			10.9
03/02/2022 18:51		9.1	
03/02/2022 18:54	13.1		
03/02/2022 18:56			23.9
03/02/2022 18:56		17.8	
03/02/2022 18:59	14.1		
03/02/2022 19:01			13.6
03/02/2022 19:02		10.3	
03/02/2022 19:04	12.3		
03/02/2022 19:06			12.8
03/02/2022 19:07		9.5	
03/02/2022 19:09	10.7		
03/02/2022 19:12			9.1
03/02/2022 19:12		7.7	
03/02/2022 19:14	8.8		
03/02/2022 19:17			12.7
03/02/2022 19:17		8.6	
03/02/2022 19:19	11.1		
03/02/2022 19:22			10.5
03/02/2022 19:22		8	
03/02/2022 19:24	9.9		
03/02/2022 19:27			12
03/02/2022 19:27		8.1	
03/02/2022 19:29	11.2		
03/02/2022 19:32			11.3
03/02/2022 19:32		7.8	
03/02/2022 19:35	10.4		
03/02/2022 19:37			10.5
03/02/2022 19:37		7.1	
03/02/2022 19:40	7.8		
03/02/2022 19:42			8.2
03/02/2022 19:42		7.3	
03/02/2022 19:45	7.8		
03/02/2022 19:47			10.1
03/02/2022 19:47		5.5	
03/02/2022 19:50	6.8		
03/02/2022 19:52			7.3
03/02/2022 19:52		5.1	
03/02/2022 19:55	7.9		
03/02/2022 19:57			6.7
03/02/2022 19:57		5.1	
03/02/2022 20:00	8		
03/02/2022 20:02			7.8
03/02/2022 20:02		6.2	
03/02/2022 20:05	6.2		
03/02/2022 20:07			7.1
03/02/2022 20:07		5.5	
03/02/2022 20:10	6.8		
03/02/2022 20:12			8.3
03/02/2022 20:13		6.1	
03/02/2022 20:15	7.6		
03/02/2022 20:17			11.3
03/02/2022 20:18		5.7	
